I,c
8.50,0.7
8.50,0.2
8.50,0.4
8.50,0.4
8.50,0.6
8.99,77.9
8.99,66.9
8.99,82.9
8.99,72.6
8.99,76.9
9.48,662.9
9.48,718.4
9.48,656.8
9.48,719.0
9.48,658.5
10.02,1707.1
10.02,1653.3
10.02,1740.2
10.02,1641.9
10.02,1693.7
10.51,2953.4
10.51,2986.1
10.51,2950.4
10.51,2988.4
10.51,2997.1
11.00,4607.3
11.00,4586.2
11.00,4720.9
11.00,4603.9
11.00,4669.7
11.49,6318.6
11.49,6260.3
11.49,6307.4
11.49,6350.5
11.49,6233.6
11.97,7919.8
11.97,7874.0
11.97,7864.0
11.97,7874.2
11.97,7963.9
12.51,9159.8
12.51,9230.8
12.51,9119.7
12.51,9260.9
12.51,9195.9
13.00,10090.6
13.00,10037.7
13.00,10002.5
13.00,9996.6
13.00,9957.3
13.49,10531.0
13.49,10547.2
13.49,10537.6
13.49,10505.5
13.49,10512.3
13.73,10772.6
13.73,10837.0
13.73,10838.6
13.73,10844.6
13.73,10767.9
13.73,10854.7
13.73,10767.7
13.73,10835.2
13.98,11015.4
13.98,10970.9
13.98,11000.7
13.98,11028.4
13.98,10982.1
13.98,11076.4
13.98,11063.0
13.98,11009.8
14.27,11137.8
14.27,11170.3
14.27,11108.7
14.27,11182.2
14.27,11194.6
14.27,11128.3
14.27,11075.5
14.27,11153.0
14.52,11310.0
14.52,11288.5
14.52,11294.9
14.52,11252.4
14.52,11314.3
14.52,11264.0
14.52,11270.0
14.52,11246.0
14.76,11455.5
14.76,11476.2
14.76,11533.5
14.76,11510.5
14.76,11555.1
14.76,11507.5
14.76,11573.7
14.76,11577.6
15.00,11860.3
15.00,11918.6
15.00,11957.1
15.00,11941.7
15.00,11945.3
15.00,11937.1
15.00,11997.1
15.00,11965.2
15.25,12850.5
15.25,12745.5
15.25,12799.4
15.25,12734.4
15.25,12732.4
15.25,12758.1
15.25,12716.6
15.25,12694.2
15.49,14622.0
15.49,14776.0
15.49,14900.8
15.49,15077.8
15.49,14996.2
15.49,14949.5
15.49,14944.6
15.49,14843.5
15.74,21720.6
15.74,22412.8
15.74,22658.2
15.74,22496.8
15.74,22538.7
15.74,22454.5
15.74,22004.5
15.74,22200.8
15.98,49165.3
15.98,51097.1
15.98,51934.5
15.98,51505.9
15.98,53733.9
15.98,54866.5
15.98,53005.6
15.98,51845.2